_id,name,description,rating,address,city,state,zipcode,url,monthlyfees,onetimefees,companykey,accessed,phone
54a709e047079bd73a9dfb948caa8f35,Mccart Apartments,"Escape to McCart Apartments and experience a quiet and peaceful setting just across the street from the TCU campus. In addition to convenient off-street parking, our apartment homes offer spacious living areas, large walk-in closets, oversized picture windows with blinds and custom home amenities...",,2841 McCart Ave,Fort Worth,TX,76110,https://www.apartments.com/mccart-apartments-fort-worth-tx/pyrlgcs/,"Cat Rent: $15, Dog Rent: $15","Admin Fee: $50, Application Fee: $50, Cat Fee: $250, Cat Deposit: $250, Dog Fee: $250, Dog Deposit: $250",l65cnfg,2018-02-26 14:48:39.519107,8442173907
fbebfdcb612059d8072a42fef251fb56,The Berkeley,"Welcome to The Berkeley! As part of the Lily B. Clayton school district, we are nestled in the prestigious Berkeley neighborhood and just minutes from Downtown, Sundance Square, and West 7th. The medical and hospital districts, Texas Christian University (TCU) campus, and the legendary Fort Worth...",,2001 Park Hill Dr,Fort Worth,TX,76110,https://www.apartments.com/the-berkeley-fort-worth-tx/rjjel93/,"Assigned Covered Parking: $50, Assigned Garage Parking: $150, Cat Rent: $10, Dog Rent: $15","Admin Fee: $150, Application Fee: $50, Cat Fee: $300, Dog Fee: $300",p8blqkv,2018-02-26 14:48:40.234206,8448384892
5b7d7755af0c3383e28915bf7a9ef5d8,3145 Waits Ave,"Brand New Construction, Luxury Living, Walking distance to TCU campus, Granite countertops, wood flooring and all stainless steel appliances.  Covered parking
1st month FREE RENT",,3145 Waits Ave,Fort Worth,TX,76109,https://www.apartments.com/3145-waits-ave-fort-worth-tx/e23p9ym/,,,,2018-02-26 14:48:40.774091,8173492568
eaaa33829d05fd148bc310115999547b,2930 Forest Park Blvd,"Beautiful Crafted home, walking distance to TCU! Spend time with friends in the open floorplan living space. Kitchen includes granite countertops, stainless steel appliances (dishwasher, stove, refrigerator, microwave), and breakfast bar. Full size washer & dryer also included! Easy maintenance s...",,2930 Forest Park Blvd,Fort Worth,TX,76110,https://www.apartments.com/2930-forest-park-blvd-fort-worth-tx/t7xgsf8/,,,,2018-02-26 14:48:41.314214,8175323103
24fc588076a2c9a947224adec70f0168,2928 Forest Park Blvd,"Beautiful Crafted home, walking distance to TCU! Spend time with friends in the open floorplan living space. Kitchen includes granite countertops, stainless steel appliances (dishwasher, stove, refrigerator, microwave), and breakfast bar. Full size washer & dryer also included! Easy maintenance h...",,2928 Forest Park Blvd,Fort Worth,TX,76110,https://www.apartments.com/2928-forest-park-blvd-fort-worth-tx/j17y7z4/,,,,2018-02-26 14:48:41.827940,8175334504
dfaffb1afd2da10ac93b4f3f93b52b07,3500 S Riverside Dr Unit 2110,"Autumn Chase Apartments offers future tenants a new lifestyle just minutes from the Downtown Fort Worth area. All of the spacious 184 apartment homes have laminate wood flooring, over-sized closets and roomy living spaces that can accommodate larger furniture. The one-bedroom apartment homes are ...",,3500 S Riverside Dr Unit 2110,Fort Worth,TX,76119,https://www.apartments.com/3500-s-riverside-dr-fort-worth-tx-unit-2110/nzwmwxq/,,,,2018-02-26 14:48:42.485694,8177765855
feb728bcd445f767c2017a5f79c08617,3500 S Riverside Dr Unit 2304,"Autumn Chase Apartments offers future tenants a new lifestyle just minutes from the Downtown Fort Worth area. All of the spacious 184 apartment homes have laminate wood flooring, over-sized closets and roomy living spaces that can accommodate larger furniture. The one-bedroom apartment homes are ...",,3500 S Riverside Dr Unit 2304,Fort Worth,TX,76119,https://www.apartments.com/3500-s-riverside-dr-fort-worth-tx-unit-2304/h2ccj02/,,,,2018-02-26 14:48:43.077824,8175029165
21c3f4301122c0506f838f823d492936,3500 S Riverside Dr,"Autumn Chase Apartments offers future tenants a new lifestyle just minutes from the Downtown Forth Worth area. All of the spacious 184 apartment homes have laminate wood flooring, over-sized closets and roomy living spaces that can accommodate larger furniture. The one bedroom apartment homes are...",,3500 S Riverside Dr,Fort Worth,TX,76119,https://www.apartments.com/3500-s-riverside-dr-fort-worth-tx/vlq1t6f/,,,,2018-02-26 14:48:43.547199,8174844829
761e9d374f1e0da48a81e96d99743fbe,Magnolia at Mistletoe Heights,"Magnolia at Mistletoe Heights is a luxury boutique-style apartment community in the most popular cultural district in Fort Worth. Our urban luxury apartments feature a great residential mix of efficiencies, one bedroom and two bedroom apartments within walking distance to all of West 7th. Our lux...",,2101 W Rosedale St,Fort Worth,TX,76104,https://www.apartments.com/magnolia-at-mistletoe-heights-fort-worth-tx/m68gxkj/,"Cat Rent: $30, Dog Rent: $30","Cat Fee: $300, Cat Deposit: $200, Dog Fee: $300, Dog Deposit: $200",76nrt3y,2018-02-26 14:48:44.195556,
0b588b2f3f3fb7689876618ac6d45125,2105 Harrison Ave,Cute clean home with updates on a quiet street near Medical district and near Southside. Berkley and Mistletoe Heights neighborhoods.,,2105 Harrison Ave,Fort Worth,TX,76110,https://www.apartments.com/2105-harrison-ave-fort-worth-tx/n2rcsxq/,,Other Deposit(s): $500,,2018-02-26 14:48:44.818755,
